음 식 명|중량(g)|에너지(kcal)|탄수화물(g)|단백질(g)|지방(g)|당류(g)|나트륨(mg)
청국장찌개|400|275.464|14.968|25.844|14.432|0|1839.752
두부전골|500|315.11|16.195|29.145|19.15|0.86|1651.525
곱창전골|600|532.65|26.886|38.346|34.728|0|1750.422
소고기전골|300|203.223|16.548|19.467|7.542|0|1090.149
국수전골|400|643.16|66.928|45.292|22.388|3.996|1524.628
돼지고기김치찌개|400|246.288|9.328|15.5|18.256|0|1961.476
버섯찌개|400|171.86|15.26|16.644|7.524|0|1267.812
참치김치찌개|400|193.576|13.332|16.856|10.888|0|2604.452
순두부찌개|400|198.468|8.78|14.716|14.032|0|1331.312
콩비지찌개|400|248.664|24.516|15.964|12.808|0|1206.328
햄김치찌개|300|190.4662|15.4367|11.6261|10.6807|0|1527.8157
호박찌개|300|98.301|12.735|7.779|2.337|2.064|1028.145
고추장찌개|500|263.4432|20.0832|25.6176|12.3456|0|935.1456
대구찜|500|372.68|26.425|54.08|8.43|0|1888.04
도미찜|100|126.312|0.756|21.006|3.684|0|882.04
문어숙회|80|67.488|0.1824|14.136|0.7296|0|222.832
아귀찜|400|310.696|17.588|48.848|6.676|0|1463.312
조기찜|100|185.252|1.813|22.271|9.195|0.3408|631.892
참꼬막|80|89.7672|4.9208|12.9832|2.1712|1.5984|400.228
해물찜|500|397.375|36.02|50.275|8.935|0|2213.435
소갈비찜|250|500.4525|11.31|42.545|29.165|0|768.4225
돼지갈비찜|170.1|249.699|8.82|20.565|14.418|1.764|946.677
돼지고기수육|300|1218.1856|8.6942|61.4684|99.5164|0|389.5309
찜닭|1500|1358.384|140.6418|114.902|36.5438|57.524|5290.091
족발|150|381.572|32.3|26.02|16.62|0|839.1449
달걀찜|250|190|4.8075|16.2025|10.9125|0|860.3175
닭갈비|300|562.104|24.543|52.296|28.887|3.513|975.549
닭꼬치|70|177.5053|12.8982|12.3487|7.896|8.5827|287.2611
돼지갈비|100|248.5242|7.6005|19.9476|14.7006|5.0112|344.8854
떡갈비|250|762.9875|26.6075|43.085|51.575|12.4875|838.8375
불고기|150|386.7908|13.0548|32.9032|21.78|1.0956|632.5354
소곱창구이|150|639.1095|6.507|35.616|51.708|0|332.718
소양념갈비구이|300|986.9166|27.74475|61.97065|66.4753|14.3075|1272.34385
소불고기|200|174.7335|19.6327|14.2234|4.6797|9.4905|828.1511
양념왕갈비|150|485.5065|15.036|29.3325|33.7065|8.352|533.193
햄버거스테이크|200|436.752|21.35|24.924|28.052|0|920.262
훈제오리|250|789.9625|11.8275|38.1575|64.6525|6.245|1216.975
치킨데리야끼|340|692.5248|50.7296|47.3408|32.192|3.64096|865.9776
치킨윙|100|219.419|9.965|11.405|14.23|2.4462|351.394
더덕구이|100|183.74|31.78|5.802|5.621|10.8475|745.78
양배추구이|100|60.933|7.621|2.711|2.651|0.842|242.337
두부구이|100|90.671|1.527|9.411|6.267|0|164.39
삼치구이|200|355.7061|8.4753|37.827|18.009|0|797.7096
가자미전|150|220.464|6.684|29.9715|7.1235|0|814.374
굴전|100|192.81|13.922|12.563|9.067|0|331.021
동태전|150|265.2507|11.47718|19.86699|16.14041|0|672.97659
해물파전|150|267.2312|27.67616|12.9352|12.56736|0|356.42632
동그랑땡|150|312.4125|14.706|19.674|18.723|0|579.81
햄부침|100|232.598|9.733|13.067|15.481|0|774.678
육전|100|197.098|6.724|19.582|9.514|0.299|248.684
감자전|200|366.1585|53.8118|9.6691|13.6135|0|456.5301
고추전|150|261.4425|17.7765|13.938|14.8605|0.747|359.8845
김치전|150|285.728|32.0688|13.1728|12.4784|0|785.6
깻잎전|150|357.6225|16.6515|18.297|24.6405|0.747|464.9355
녹두빈대떡|100|200.71|18.637|9.956|8.321|0|246.031
미나리전|150|215.8635|30.096|6.087|8.6325|0|235.647
배추전|150|241.008|32.512|6.4096|10.4944|0|355.976
버섯전|150|239.6835|18.6075|11.934|12.93|0.747|307.923
부추전|150|241.182|32.0115|7.1415|9.5025|0|255.1605
야채전|100|194.94|24.971|4.946|8.78|0|322.923
파전|150|280.548|37.455|7.7265|12.0375|0|337.998
호박부침개|100|130.722|8.671|3.37|9.235|0|172.027
호박전|150|215.283|16.557|6.5895|14.4195|0|274.6305
달걀말이|100|172.238|4.668|12.044|11.232|0|323.323
두부부침|100|134.88|4.288|9.922|8.755|0|199.833
두부전|150|253.89|8.078|18.655|18.025|0|500.528
건새우볶음|20|69.1858|4.813|7.2218|2.2964|2.70256|193.088
낙지볶음|200|180.59|23.512|17.866|3|6.7|868.884
멸치볶음|20|69.225|5.693|6.9704|2.0424|3.43308|274.096
어묵볶음|150|281.5425|36.279|18.0375|8.0835|4.473|1283.8275
오징어볶음|200|243.696|27.42|20.432|6.842|9.28|1025.86
오징어채볶음|20|55.7136|7.0046|5.394|0.6852|1.3477|240.964
주꾸미볶음|200|211.81|21.692|20.156|6.11|6.7|969.884
해물볶음|400|420.527|36.5332|37.4832|15.3178|7.657|1647.0188
감자볶음|50|57.803|8.23|1.3435|2.5335|0.498|219.935
김치볶음|200|189.97|21.828|5.288|12.134|8.964|1513.41
깻잎나물볶음|200|212.392|17.328|8.032|16.372|0.2|1046.426
느타리버섯볶음|150|133.3185|14.217|4.407|8.925|0.15|625.251
두부김치|250|292.42|13.84|19.1475|21.315|0|1033.85
머위나물볶음|150|102.993|7.7055|4.3035|7.953|0|696.915
양송이버섯볶음|150|132.4215|10.554|5.457|9.7905|0|520.1145
표고버섯볶음|150|143.595|14.2785|4.0095|7.356|1.494|563.5905
고추잡채|200|264.218|22.106|12.862|12.706|8.4462|850.308
호박볶음|50|29.185|3.094|0.7705|2.006|0|223.2785
돼지고기볶음|200|353.132|15.33|25.746|20.936|4.75|1060.332
돼지껍데기볶음|150|346.1445|22.7265|22.3905|19.2285|15.843|759.294
소세지볶음|200|476.04029|28.80525|17.03997|33.24425|5.830144|1409.04861
순대볶음|400|579.5559|70.95935|17.58295|25.6102|14.2912|1379.5474
오리불고기|250|559.93155|24.47235|38.16075|34.2465|4.0749|854.07405
오삼불고기|200|356.936|21.462|23.348|20.238|7.424|870.4
떡볶이|200|300.76|58.854|8.718|2.96|5.704|862.23
라볶이|200|266.03|41.134|7.96|9.588|6.356|836.238
마파두부|200|226.9151|10.9858|16.853|12.0137|0.5681|647.4516
가자미조림|300|301.29|20.337|40.701|6.903|5.994|1621.23
갈치조림|100|99.385|5.494|10.675|3.916|0.5|463.82
고등어조림|250|459.335|10.96|45.3725|25.35|1.46|1177.955
꽁치조림|150|280.0882|8.358|22.5932|16.6656|1.3944|679.4172
동태조림|250|270.6125|16.77|39.0325|4.0925|4.995|1440.175
북어조림|100|184.581|15.656|23.884|3.035|2.9064|761.39
조기조림|300|378.2615|14.2419|41.4294|16.2632|1.45|1682.899
코다리조림|100|146.67|4.574|18.458|5.616|0.5|433.18
달걀장조림|100|133.725|10.032|8.751|6.395|3.1713|636.605
메추리알장조림|100|205.08|7.358|12.107|13.691|2.4522|758.9
돼지고기메추리알장조림|50|62.969|3.14|7.616|2.1065|0.83765|555.785
소고기메추리알장조림|50|61.215|3.446|6.672|2.211|0.999|608.295
고추조림|100|105.878|14.827|2.856|4.185|2.988|802.456
감자조림|50|39.013|8.4025|1.552|0.203|0.7854|265.9155
우엉조림|30|68.496|15.5052|1.0971|0.3285|7.61112|242.2806
알감자조림|50|56.226|10.4805|1.3835|1.2635|1.56675|241.732
(검은)콩조림|20|56.832|6.9838|3.8488|2.0858|2.91534|102.853
콩조림|20|59.222|7.7546|3.5661|1.9389|2.91534|234.701
두부고추장조림|50|67.1415|4.0255|5.137|3.998|1.89|199.2275
땅콩조림|20|80.4188|6.5448|2.9102|5.1148|3.2709|154.246
미꾸라지튀김|100|382.13|30.57|12.687|22.541|0|323.256
새우튀김|100|311.256|21.828|11.827|19.643|0|553.887
생선가스|200|646.21125|57.3754|24.5016|37.09065|0|817.2735
쥐포튀김|100|353.33|37.99|11.207|16.541|0|423.79925
오징어튀김|100|308.426|26.016|13.459|16.496|0|361.571
닭강정|100|323.251|24.21|18.335|15.563|1.7421|413.137
닭튀김|300|909.8054|45.9186|54.5461|52.3421|0|1150.1313
돈가스|200|620.6445|36.556|27.778|39.1172|0|557.0933
모래집튀김|150|457.345|31.8612|22.2894|25.8944|0|297.01
양념치킨|200|567.582|38.84|30.466|31.146|12.364|777.856
치즈돈가스|250|758.496|45.4848|36.0192|46.1472|0|855.0456
치킨가스|200|582.008|51.2753|31.0327|28.6444|0|748.7311
탕수육|200|454.4382|56.4889|17.062|16.587|1.8981|403.256
깐풍기|200|585.076|43.362|27.796|33.34|13.944|629.272
감자튀김|150|462.105|50.1|6.24|25.7625|0|374.2185
고구마맛탕|200|490.9275|90.1908|3.3033|13.5324|1.43073|213.3306
고구마튀김|100|241.566|34.1|3.205|10.796|0|150.639
고추튀김|100|198.346|12.74|6.482|13.625|0|260.651
김말이튀김|100|240.562|32.486|2.248|12.38|0|393.022
채소튀김|100|311.99|36.349|3.013|18.532|0|277.28
노각무침|150|81.354|16.434|3.0855|2.0745|5.0865|822.0975
단무지무침|50|19.188|3.2155|0.467|0.9105|0.974|447.862
달래나물무침|150|132.687|25.2555|4.7715|3.3045|13.536|852.993
